id	kloeke	place	province	country	dictionary	point
1	H006a	De Haan	BeWv	BE		51.2667, 3.03333
2	L222p	Walbeck	Dui	DE		51.4969, 6.24139
3	R930d	Olpe	Ri	DE		51.0385, 7.16258
4	K206p	Brecht	BeAnt	BE		51.352, 4.64565
5	M196p	Moers	Dui	DE		51.449, 6.63896
6	P171p	Landen	BeBr	BE		50.7606, 5.08959
7	Q209p	Teuven	BeLb	BE		50.7577, 5.88379
8	P179p	Aalst	BeLb	BE		50.7889, 5.21579
9	L256p	Aalst	NB	NL		51.4039, 5.4861
10	K194p	Alphen	NB	NL		51.4836, 4.96753
11	K277p	Balen	BeAnt	BE		51.1797, 5.18457
12	Q279p	Baelen	Be, Luik	BE		50.6442, 5.96102
13	K333p	Putte	BeAnt	BE		51.0559, 4.63904
14	N129a	Tenbrielen	BeHe	BE		50.7813, 3.0506
15	M057p	Heiden	Dui	DE		51.8333, 6.93333
16	N165p	Ploegsteert	BeHe	BE		50.7231, 2.95184
17	O193a	Orroir	BeHe	BE		50.7424, 3.51892
18	K276d	Achterbos	BeAnt	BE		51.1967, 5.10449
19	H009b	Zwankendamme	BeWv	BE		51.3166, 3.2
20	M163p	Sevelen	Dui	DE		51.4929, 6.43077
21	M221p	Wankum	Dui	DE		51.4002, 6.3064
22	M346p	Bedburg	Ri	DE		50.9893, 6.57115
23	M191p	Kerken	Dui	DE		51.45, 6.4
24	E132p	Voorhout	ZH	NL		52.2195, 4.47848
25	O259p	Pottes	BeHe	BE		50.7215, 3.44559
26	Q113v	Heerlerbaan	Lb	NL		50.8728, 6.00277
27	Z992d	Kofferen	Ri	DE		50.9994, 6.31324
28	O261p	Warcoing	BeHe	BE		50.6949, 3.38092
29	I142a	Vogelwaarde	Ze	NL		51.3256, 3.97028
30	Y923d	Dremmen	Ri	DE		51.0408, 6.1494
31	X028p	Norden	Dui	DE		53.5988, 7.19672
32	O291p	Tubeke	WaBr	BE		50.6927, 4.22085
33	H002a	Het Zoute	BeWv	BE		51.3449, 3.32554
34	H038a	Vijvekapelle	BeWv	BE		51.2194, 3.31927
35	H073p	Saint-Pol-Sur-Mer / Sint-Pol	FrVl	FR		51.0107, 2.37504
36	H074a	Malo-Les-Bains / Malo	FrVl	FR		51.027, 2.41503
37	H094p	Stuivekenskerke	BeWv	BE		51.0631, 2.84231
38	I067b	Lewedorp	Ze	NL		51.4994, 3.75315
39	I070p	Kloetinge	Ze	NL		51.4997, 3.91599
40	I080q	Dishoek	Ze	NL		51.4703, 3.53354
41	I082a	West-Souburg	Ze	NL		51.4661, 3.58762
42	I082p	Oost-Souburg	Ze	NL		51.4609, 3.61229
43	I085a	Nieuwdorp	Ze	NL		51.471, 3.74668
44	I091p	Ovezande	Ze	NL		51.4309, 3.82594
45	I092p	Nisse	Ze	NL		51.4528, 3.85513
46	I096a	Biezelinge	Ze	NL		51.4738, 3.96325
47	I096z	Maalstede	Ze	NL		51.4951, 3.97457
48	I098a	Hansweert	Ze	NL		51.4516, 4.00636
49	I099a	Oostdijk	Ze	NL		51.4449, 4.0814
50	I102b	Vlckerdorp	Ze	NL		51.429, 4.2599
51	I116j	Kuitaart	Ze	NL		51.3416, 4.04005
52	I143q	Absdale	Ze	NL		51.2702, 4.01134
53	I154c	Strobrugge	BeOv	BE		51.2282, 3.46538
54	I162z	Zandstraat	Ze	NL		51.2582, 3.82686
55	I211a	Zombeek	BeOv	BE		51.112, 4.13544
56	I225a	Markette	BeOv	BE		51.069, 3.50964
57	N128p	Bas-Warneton	BeHe	BE		50.7449, 3.01066
58	K191a	Meersel	BeAnt	BE		51.4915, 4.77621
59	K237b	Schorvoort	BeAnt	BE		51.305, 4.96619
60	K241b	Den Berg	BeAnt	BE		51.2801, 5.07478
61	K292a	Bogaertsheide	BeAnt	BE		51.1548, 4.65131
62	K341b	Grootlo	BeAnt	BE		51.0193, 4.72119
63	L249a	Broekeind	Lb	NL		51.4371, 6.13956
64	L265d	Grashoek	Lb	NL		51.3618, 5.94063
65	L293a	Heibloem	Lb	NL		51.3015, 5.89614
66	L312a	Heuvel	Belb	BE		51.2465, 5.35712
67	L355b	Erpekom	BeLb	BE		51.1234, 5.4964
68	L417a	Zwartberg	BeLb	BE		51.0158, 5.53321
69	L426a	Illikhoven	Lb	NL		51.0809, 5.81254
70	L080b	Elten	Dui	DE		51.8804, 6.16711
71	N010a	Oostcappel / Oostkappel	FrVl	FR		50.909, 2.62044
72	N069a	Sint-Juliaan	BeWv	BE		50.8744, 2.98331
73	N078a	Beitem	BeWv	BE		50.8793, 3.13684
